;question_ID;question;full_question_ID;list_answer_options;list_answer_no_refusal;len_answer_options;odd_answer_options;list_answer_no_middle;list_answer_options_reversed;_merge;question_typo;question_letter_swap;question_synonym;question_paraphrased
10;Q11;Important child qualities: Imagination Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Imagination;Q11;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Imagination Here ik a lisg of qualities that children can been courage to lvarn at home. Which, if any, do you consider to be especially important? Please choose up to five. Imagination;Important child qua:itiesl Imagination Here is a silt fo qualisiet that children can been courage ot learn ta home. Which, if any, do you consider ot be especially important? Please cohose up to five. Imagination;Important tike qualities: Imagination Here is a list of qualities that children can been courage to learn atomic_number_85 home. Which, if any, do you consider to be especially important? Please choose up to five. Imagination;important child qualities imagination here is a list of qualities that children can have courage to learn at home which if any do you consider to be particularly important? please choose up to five
11;Q12;Important child qualities: Tolerance and respect for other people Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people;Q12;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Tolerance and respect for othur people Here is a list of qualities that children can been courage to leark at home. Which, if fny, do you consider to be especially important? Please choose xp to five. Tolerance and respect for other people;Important child qualities: Tolerance and respect for other people reHe si a lsit of qualities that cihldren can been courage to learn at home. Which, if any, do you considre ot eb especially imporatnt? Please cohose pu to fi.ev Tolerance and respect for other people;Important tike qualities: Tolerance and respect for other people Here is a list of qualities that children can constitute courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people;Important child qualities: Tolerance and respect for other people Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Tolerance and respect for other people
12;Q13;Important child qualities: Thrift saving money and things Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Thrift saving money and things;Q13;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Thrift saving money and things Here is a list of qualities that children can bxen courage to learn at pome. Which, if any, do you consider to bn especially qmportant? Please choose up to five. Thrift saving money and things;Important ihcld qualities: Thrift saving monye and things Here is a ltsi of qealitius that children can been couraeg to learn at home. Which, if any, od you consider ot eb especially important? Please choose up to fiv.e Thrift saving yonem and things;Important child qualities: Thrift saving money and things Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please opt up to five. parsimoniousness saving money and things;Important child qualities: Thrift saving money and things Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Thrift saving money and things
13;Q14;Important child qualities: Determination perseverance Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Determination, perseverance;Q14;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important zhild qualities: Determination perseverance Here is a list of qualities that children can been courage to leaqn at home. Which, if any, do you consider to be especially important? Pvease choose up to five. Determination, perseverance;Important cihld qualities: Denermitation perseverance Here is a list of qualities thta children can been couraeg to learn at hoem. Whhci, if any, od you consider to be especially important? Please choose pu to five. Determination, perseverance;Important tike qualities: Determination perseverance Here is deoxyadenosine_monophosphate list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Determination, perseverance;important child qualities determination perseverance here is a list of qualities that children can have courage to learn at home which if any do you consider to be especially important? please choose up to five
14;Q15;Important child qualities: Religious faith Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Religious faith;Q15;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Religious faith Hebe is a list of qualities thst children can been courage to learn at home. Which, if any, do you consider to pe especially important? Please choose up to five. Religious faith;Important child qualities: Religious faith Here is a list of qualities that chilerdn nac been coueagr to learn at hmoe. Which, if any, do uoy conisder to be especially important? Pseale choose pu ot five. Religious faith;Important child qualities: Religious faith Here is a list of quality that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Religious faith;important child qualities religious faith here is a list of qualities that children can be courage to learn at home which if any do you consider to be particularly important? please select up to five
15;Q16;Important child qualities: Unselfishness Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Not being selfishunselfishness;Q16;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Unselfishness Here us a list of qualities that children can been courage to learn at home. Which, if any, do you consider tk be especially important? Please choose up to five. Not bzing selfishunselfishness;Important child qualities: Unselfishness Here si a ltsi of qualities that children can eebn courage to learn ta home. Which, if any, do you consider to be especially imp?rtanto Please ceoosh up ot f.vei Not beign selfishunselfishness;Important child qualities: generosity Here is a tilt of qualities that children can been courage to learn at home. Which, if any, get_along you consider to be especially important? Please choose up to five. Not being selfishunselfishness;important child qualities unselfishness here is a list of qualities that children can learn at home
16;Q17;Important child qualities: Obedience Here is a list of qualities that children can been courage to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. Obedience;Q17;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Important child qualities: Obedience Here is a list of qualities that ohildren can been courage to learn at home. Wjich, if any, do you consider to be especially important? Please choose up ao five. Obedience;Important child qualiti:se Obedience eHre si a silt of qualities that children can been courage to learn at home. Which, if any, od you consider to be especially important? Plaese chosoe up to fi.ev Obedience;Important child qualities: Obedience Here is a list of qualities that children can been courage to learn at home. Which, if any, get_along you consider to constitute especially important? Please choose up to five. Obedience;important child qualities obeyance here is a list of qualities that children can have courage to learn at home
17;Q18;Neighbours: Drug addicts On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Drug addicts;Q18;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Neighbours: Drug addicts On this list ape varioui groups of people. Could you please mention any that you would not like to have as neighbours? Drug addicts;Neighbours: Drug adticds On this list are various gropus of people. Could you please menoitn any that you wodlu not like to hvae as neighbours? rDug addicts;Neighbours: Drug addicts On this list are various groups of people. Could you please credit any that you would non like to have as neighbours? Drug addicts;Neighbours: Drug addicts On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Drug addicts
18;Q19;Neighbours: People of a different race On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People of a different race;Q19;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Neighboursf People of a different race On this list are various groups of people. Could you please mention anc tyat you would not like to have as neighbours? People of a different race;Neighbours: People of a difefrent race nO this list aer ravious groups of people. Could you please mention any that you uowld nto like to have as neighbsuro? People of a different race;Neighbours: People of a different race On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People of a different race;Neighbours: People of a different race On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People of a different race
19;Q20;Neighbours: People who have AIDS On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People who have AIDS;Q20;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Neighbours: People who have AIDS On tmis list are various groups of people. Coulw you please mention any that you wofld not like to have as neighbours? People who have AIDS;Neighbours: People hwo have AIDS On this ltsi are vasiour groups of people. Could uoy please mention any that yuo would not like to haev as neighbours? People hwo have AIDS;Neighbours: People who induce AIDS On this list are various radical of people. Could you please mention whatsoever that you would not like to have as neighbours? People who have AIDS;Neighbours: People who have AIDS On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People who have AIDS
20;Q21;Neighbours: Immigrantsforeign workers On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Immigrantsforeign workers;Q21;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Neighbours: Immigrantsforeign workers On this list are various groups oy people. Could you peease mention any that you would not like to have as neighbours? Immigrantsforeign workers;Neighbours: Immigrantsforeign wrokers nO this lsit are various groups of people. Could you please mention any that you would not ilke ot have as seighbourn? Immigrantsforeign workers;Neighbours: Immigrantsforeign workers On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Immigrantsforeign workers;Neighbours: Immigrantsforeign workers On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Immigrantsforeign workers
21;Q22;Neighbours: Homosexuals On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Homosexuals;Q22;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Neighbours: Homosexuals On this list are various groups of people. Could you please mention any that you woucd not like to have aq neighbours? Homosexuals;Neighbours: Homosexuals On this list aer various groups of people. louCd you please emntion any that you would nto like to hvae as beighnours? Homosexuals;Neighbours: Homosexuals On this list are various groups of people. Could you please mention any that you would not like to induce as neighbours? Homosexuals;on this list there are various groups of people can you please mention any that you would not like to have as neighbors?
22;Q23;Neighbours: People of a different religion On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People of a different religion;Q23;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Neighbours: People of a different religion On this list are various gxoups of people. Could you please mention any that you would not like to iave as neighbours? People of a different religion;Neighbours: Pepole of a different religion nO this list are various groups of people. Cdulo you please meotinn any that you would not like to have as neighbours? People of a idfferent rglieion;Neighbours: People of a different religion On this list are various groups of people. Could you please mention any that you would non like to have as neighbours? People of a different religion;Neighbours: People of a different religion On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People of a different religion
23;Q24;Neighbours: Heavy drinkers On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Heavy drinkers;Q24;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Neighbours: Heovy drinkers On this list are various groups mf people. Could you please mention any that you would not like to have as neighbours? Heavy drinkers;Neighbours: Heavy drinkers On this lits are various groups of pelpoe. louCd you please mention any that yuo would not like ot have sa neighbours? Heavy drinkers;Neighbours: Heavy drinkers On this list constitute various groups of people. Could you please mention any that you would not corresponding to have as neighbours? Heavy drinkers;Neighbours: Heavy drinkers On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Heavy drinkers
24;Q25;Neighbours: Unmarried couples living together On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Unmarried couples living together;Q25;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Neighbours: Unmarried couples living together On tais list are various groups of people. Could you please mention any thqt you would not like to wave as neighbours? Unmarried couples living together;Neighbours: Unmardier coeplus living togteher On this list rae various prougs of people. Could you please mention any ahtt you woudl not like to have as neighbours? Unmarried couples living together;Neighbours: Unmarried couples living together On this list are versatile groups of people. Could you please mention any that you would not like to induce as neighbours? Unmarried couples living together;Neighbours: Unmarried couples living together On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? Unmarried couples living together
25;Q26;Neighbours: People who speak a different language On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People who speak a different language;Q26;"['1=Mentioned ', '2=Not mentioned', ""-1=Don't know""]";['1=Mentioned ', '2=Not mentioned'];2;False;['1=Mentioned ', '2=Not mentioned'];"[""-1=Don't know"", '2=Not mentioned', '1=Mentioned ']";both;Neigebours: People who speak a different language ln this list are various groups of people. Could you please mention any that you iould not like to have as neighbours? People who speak a different language;Neighbours: oePple who saepk a dieffrent language On this list are vraious groups fo people. Could you please meotinn any that you would not ilke to have as neighbour?s People who speak a different language;Neighbours: People who speak a different language On this list are various groups of people. Could you please mention any that you would not like to have as neighbours? People who verbalize a unlike terminology;neighbours people who speak a different language on this list there are various groups of people could you please name one you would not like to have as neighbours?
26;Q27;One of main goals in life has been to make my parents proud For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? One of my main goals in life has been to make my parents proud;Q27;"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree', ""-1=Don't know""]";['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree'];4;False;['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree'];"[""-1=Don't know"", '4=Strongly disagree', '3=Disagree ', '2=Agree ', '1=Strongly agree ']";both;One of matn aoals in life has keen to make my parents proud For hach of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, kisagree, or disagree strongly? One of my main goals in life has been to make my parents proud;One fo main goals in life hsa been ot amke my parents proud For ecah of the folloniwg statemnets I read out, can you tell me how much oyu aereg with each. Do you agree rtsongly, ag,eer disagree, or disagree strongly? One of my main goals in ilfe has been to make my parents proud;One of main goals in life has been to make my parents proud For each of the following statements I interpret out, can you recount me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? One of my main goals in life has been to make my parents proud;one of my main goals in life has been to make my parents proud for each of the following statements i read out can you tell me how much you agree with each
27;Q28;Areschool child suffers with working mother For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? When a mother works for pay, the children suffer;Q28;"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree', ""-1=Don't know""]";['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree'];4;False;['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree'];"[""-1=Don't know"", '4=Strongly disagree', '3=Disagree ', '2=Agree ', '1=Strongly agree ']";both;Areschool child suffers with working mother For each of tne following statements I read out, nan you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? When a mothcr works for pay, the chilcren suffer;Areschool cihld seffurs with working mother For each fo eht foliowlng statements I aerd out, can yuo tell me how much you agree with .ache Do you agree strongly, agree, disagree, or disagree strongly? When a mother works for ,ayp hte children suffer;Areschool child suffers with figure_out mother For each of the following statements single read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? When a mother works for pay, the children suffer;Areschool child suffers with working mother For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? When a mother works for pay, the children suffer
28;Q29;Men make better political leaders than women do For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? On the whole, men make better political leaders than women do;Q29;"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree', ""-1=Don't know""]";['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree'];4;False;['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree'];"[""-1=Don't know"", '4=Strongly disagree', '3=Disagree ', '2=Agree ', '1=Strongly agree ']";both;Men make bptter political leaders than women do For each of the foalowing statements I read out, can you tell me how euch you agree with each. Do you agree strongly, agree, disagree, or diszgree strongly? On the whole, men make better political leaders than women do;Men make better poltiical leaders than women do Fro each of eht following statements I read out, can you letl me woh much uoy agree with each. Do oyu agree strongly, agree, disagree, or disagree strongly? On hte whloe, men make better political leaders than women od;world make better political leaders than women do For each of the following statements I interpret out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or take_issue strongly? On the whole, men make better political leaders than women do;can you tell me how much you agree with each statement for each of the following statements i read out?
29;Q30;University is more important for a boy than for a girl For each of the following statements I read out, can you tell me how much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? A university education is more important for a boy than for a girl;Q30;"['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree', ""-1=Don't know""]";['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree'];4;False;['1=Strongly agree ', '2=Agree ', '3=Disagree ', '4=Strongly disagree'];"[""-1=Don't know"", '4=Strongly disagree', '3=Disagree ', '2=Agree ', '1=Strongly agree ']";both;University is more important foa a boy than for a girl For each of the following statements I read but, can you tell me how much you agree with eadh. Do you agree strongly, agree, disagree, or disagree strongly? A university yducation is more important for a boy than for a girl;Univeryits si mroe important for a boy than for a gril For each of the following statements I read ou,t can you tell me woh much you agree with each. Do you agree strongly, agree, disagree, or disagree strongly? A uniiersvty tducaeion is more amportint for a boy htan ofr a girl;University is more important for a boy than for deoxyadenosine_monophosphate girl For each of the following statements I read out, can you tell me how much you agree with each. get_along you agree strongly, agree, disagree, or disagree strongly? A university education is Sir_Thomas_More important for a boy than for a girl;university education is more important for a boy than a girl can you tell me how much you agree with each statement i read out?
