,Category,Question,Model,Type,KL Divergence
28,Importance of Life Aspects,Q6,Llama-3.2-3B-Instruct,Keyboard Typos,3.31
29,Importance of Life Aspects,Q6,Llama-3.2-3B-Instruct,Paraphrase x Reversed,3.5
30,Importance of Life Aspects,Q6,Llama-3.2-1B-Instruct,Missing Refusal,2.49
31,Importance of Life Aspects,Q6,Llama-3.2-1B-Instruct,Even Scale,1.43
32,Importance of Life Aspects,Q6,Llama-3.2-1B-Instruct,Reversed Answer Options,2.8
33,Importance of Life Aspects,Q6,Llama-3.2-1B-Instruct,Emotional Priming,4.3
34,Importance of Life Aspects,Q6,Llama-3.2-1B-Instruct,Key Typos,4.09
35,Importance of Life Aspects,Q6,Llama-3.2-1B-Instruct,Letter Swap,3.76
36,Importance of Life Aspects,Q6,Llama-3.2-1B-Instruct,Synonyms,2.75
37,Importance of Life Aspects,Q6,Llama-3.2-1B-Instruct,Paraphrase,4.38
38,Importance of Life Aspects,Q6,Llama-3.2-1B-Instruct,Keyboard Typos,3.1
39,Importance of Life Aspects,Q6,Llama-3.2-1B-Instruct,Paraphrase x Reversed,4.28
40,Importance of Life Aspects,Q6,Gemini-1.5-Pro,Missing Refusal,0.0
41,Importance of Life Aspects,Q6,Gemini-1.5-Pro,Even Scale,2.84
42,Importance of Life Aspects,Q6,Gemini-1.5-Pro,Reversed Answer Options,0.0
43,Importance of Life Aspects,Q6,Gemini-1.5-Pro,Emotional Priming,2.84
44,Importance of Life Aspects,Q6,Gemini-1.5-Pro,Key Typos,2.84
45,Importance of Life Aspects,Q6,Gemini-1.5-Pro,Letter Swap,2.84
46,Importance of Life Aspects,Q6,Gemini-1.5-Pro,Synonyms,2.84
47,Importance of Life Aspects,Q6,Gemini-1.5-Pro,Paraphrase,0.0
48,Importance of Life Aspects,Q6,Gemini-1.5-Pro,Keyboard Typos,2.84
49,Importance of Life Aspects,Q6,Gemini-1.5-Pro,Paraphrase x Reversed,5.68
50,Importance of Life Aspects,Q6,Phi-3.5-mini,Missing Refusal,0.0
51,Importance of Life Aspects,Q6,Phi-3.5-mini,Even Scale,2.84
52,Importance of Life Aspects,Q6,Phi-3.5-mini,Reversed Answer Options,2.84
53,Importance of Life Aspects,Q6,Phi-3.5-mini,Emotional Priming,2.84
54,Importance of Life Aspects,Q6,Phi-3.5-mini,Key Typos,2.84
55,Importance of Life Aspects,Q6,Phi-3.5-mini,Letter Swap,0.0
56,Importance of Life Aspects,Q6,Phi-3.5-mini,Synonyms,5.68
57,Importance of Life Aspects,Q6,Phi-3.5-mini,Paraphrase,8.52
58,Importance of Life Aspects,Q6,Phi-3.5-mini,Keyboard Typos,8.52
59,Importance of Life Aspects,Q6,Phi-3.5-mini,Paraphrase x Reversed,2.84
60,Importance of Life Aspects,Q6,Mistral-7B-Instruct-v0.3,Missing Refusal,2.84
61,Importance of Life Aspects,Q6,Mistral-7B-Instruct-v0.3,Even Scale,0.0
62,Importance of Life Aspects,Q6,Mistral-7B-Instruct-v0.3,Reversed Answer Options,0.0
63,Importance of Life Aspects,Q6,Mistral-7B-Instruct-v0.3,Emotional Priming,5.68
64,Importance of Life Aspects,Q6,Mistral-7B-Instruct-v0.3,Key Typos,5.68
65,Importance of Life Aspects,Q6,Mistral-7B-Instruct-v0.3,Letter Swap,0.0
66,Importance of Life Aspects,Q6,Mistral-7B-Instruct-v0.3,Synonyms,2.84
67,Importance of Life Aspects,Q6,Mistral-7B-Instruct-v0.3,Paraphrase,5.68
68,Importance of Life Aspects,Q6,Mistral-7B-Instruct-v0.3,Keyboard Typos,5.68
69,Importance of Life Aspects,Q6,Mistral-7B-Instruct-v0.3,Paraphrase x Reversed,5.68
70,Importance of Life Aspects,Q6,Qwen-2.5-7B-Instruct,Missing Refusal,4.78
71,Importance of Life Aspects,Q6,Qwen-2.5-7B-Instruct,Even Scale,0.64
72,Importance of Life Aspects,Q6,Qwen-2.5-7B-Instruct,Reversed Answer Options,4.8
73,Importance of Life Aspects,Q6,Qwen-2.5-7B-Instruct,Emotional Priming,2.74
74,Importance of Life Aspects,Q6,Qwen-2.5-7B-Instruct,Key Typos,0.73
75,Importance of Life Aspects,Q6,Qwen-2.5-7B-Instruct,Letter Swap,2.74
76,Importance of Life Aspects,Q6,Qwen-2.5-7B-Instruct,Synonyms,3.54
77,Importance of Life Aspects,Q6,Qwen-2.5-7B-Instruct,Paraphrase,2.74
78,Importance of Life Aspects,Q6,Qwen-2.5-7B-Instruct,Keyboard Typos,2.76
79,Importance of Life Aspects,Q6,Qwen-2.5-7B-Instruct,Paraphrase x Reversed,4.8
80,Importance of Life Aspects,Q6,Yi-1.5-6B-Chat,Missing Refusal,0.0
81,Importance of Life Aspects,Q6,Yi-1.5-6B-Chat,Even Scale,0.0
82,Importance of Life Aspects,Q6,Yi-1.5-6B-Chat,Reversed Answer Options,2.84
83,Importance of Life Aspects,Q6,Yi-1.5-6B-Chat,Emotional Priming,0.0
84,Importance of Life Aspects,Q6,Yi-1.5-6B-Chat,Key Typos,8.52
85,Importance of Life Aspects,Q6,Yi-1.5-6B-Chat,Letter Swap,5.68
86,Importance of Life Aspects,Q6,Yi-1.5-6B-Chat,Synonyms,5.68
87,Importance of Life Aspects,Q6,Yi-1.5-6B-Chat,Paraphrase,11.36
88,Importance of Life Aspects,Q6,Yi-1.5-6B-Chat,Keyboard Typos,11.36
89,Importance of Life Aspects,Q6,Yi-1.5-6B-Chat,Paraphrase x Reversed,8.52
90,Social and Cultural Norms,Q41,Llama-3.3-70B-Instruct,Missing Refusal,0.03
91,Social and Cultural Norms,Q41,Llama-3.3-70B-Instruct,Even Scale,10.72
92,Social and Cultural Norms,Q41,Llama-3.3-70B-Instruct,Reversed Answer Options,10.21
93,Social and Cultural Norms,Q41,Llama-3.3-70B-Instruct,Emotional Priming,4.43
94,Social and Cultural Norms,Q41,Llama-3.3-70B-Instruct,Key Typos,7.27
95,Social and Cultural Norms,Q41,Llama-3.3-70B-Instruct,Letter Swap,3.86
96,Social and Cultural Norms,Q41,Llama-3.3-70B-Instruct,Synonyms,4.43
97,Social and Cultural Norms,Q41,Llama-3.3-70B-Instruct,Paraphrase,4.07
98,Social and Cultural Norms,Q41,Llama-3.3-70B-Instruct,Keyboard Typos,3.86
99,Social and Cultural Norms,Q41,Llama-3.3-70B-Instruct,Paraphrase x Reversed,9.57
100,Social and Cultural Norms,Q41,Llama-3.1-8B-Instruct,Missing Refusal,0.85
101,Social and Cultural Norms,Q41,Llama-3.1-8B-Instruct,Even Scale,1.44
102,Social and Cultural Norms,Q41,Llama-3.1-8B-Instruct,Reversed Answer Options,1.17
103,Social and Cultural Norms,Q41,Llama-3.1-8B-Instruct,Emotional Priming,0.51
104,Social and Cultural Norms,Q41,Llama-3.1-8B-Instruct,Key Typos,4.25
105,Social and Cultural Norms,Q41,Llama-3.1-8B-Instruct,Letter Swap,4.04
106,Social and Cultural Norms,Q41,Llama-3.1-8B-Instruct,Synonyms,1.98
107,Social and Cultural Norms,Q41,Llama-3.1-8B-Instruct,Paraphrase,2.92
108,Social and Cultural Norms,Q41,Llama-3.1-8B-Instruct,Keyboard Typos,4.65
109,Social and Cultural Norms,Q41,Llama-3.1-8B-Instruct,Paraphrase x Reversed,3.04
110,Social and Cultural Norms,Q41,Llama-3.2-3B-Instruct,Missing Refusal,1.42
111,Social and Cultural Norms,Q41,Llama-3.2-3B-Instruct,Even Scale,3.43
112,Social and Cultural Norms,Q41,Llama-3.2-3B-Instruct,Reversed Answer Options,1.81
113,Social and Cultural Norms,Q41,Llama-3.2-3B-Instruct,Emotional Priming,2.37
114,Social and Cultural Norms,Q41,Llama-3.2-3B-Instruct,Key Typos,2.82
115,Social and Cultural Norms,Q41,Llama-3.2-3B-Instruct,Letter Swap,1.14
116,Social and Cultural Norms,Q41,Llama-3.2-3B-Instruct,Synonyms,0.67
117,Social and Cultural Norms,Q41,Llama-3.2-3B-Instruct,Paraphrase,1.0
118,Social and Cultural Norms,Q41,Llama-3.2-3B-Instruct,Keyboard Typos,2.81
119,Social and Cultural Norms,Q41,Llama-3.2-3B-Instruct,Paraphrase x Reversed,3.7
120,Social and Cultural Norms,Q41,Llama-3.2-1B-Instruct,Missing Refusal,0.01
121,Social and Cultural Norms,Q41,Llama-3.2-1B-Instruct,Even Scale,0.14
122,Social and Cultural Norms,Q41,Llama-3.2-1B-Instruct,Reversed Answer Options,0.88
123,Social and Cultural Norms,Q41,Llama-3.2-1B-Instruct,Emotional Priming,0.06
124,Social and Cultural Norms,Q41,Llama-3.2-1B-Instruct,Key Typos,3.33
125,Social and Cultural Norms,Q41,Llama-3.2-1B-Instruct,Letter Swap,0.48
126,Social and Cultural Norms,Q41,Llama-3.2-1B-Instruct,Synonyms,0.0
127,Social and Cultural Norms,Q41,Llama-3.2-1B-Instruct,Paraphrase,0.31
128,Social and Cultural Norms,Q41,Llama-3.2-1B-Instruct,Keyboard Typos,0.7
129,Social and Cultural Norms,Q41,Llama-3.2-1B-Instruct,Paraphrase x Reversed,7.13
130,Social and Cultural Norms,Q41,Gemini-1.5-Pro,Missing Refusal,0.0
131,Social and Cultural Norms,Q41,Gemini-1.5-Pro,Even Scale,8.55
132,Social and Cultural Norms,Q41,Gemini-1.5-Pro,Reversed Answer Options,2.85
133,Social and Cultural Norms,Q41,Gemini-1.5-Pro,Emotional Priming,0.0
134,Social and Cultural Norms,Q41,Gemini-1.5-Pro,Key Typos,2.84
135,Social and Cultural Norms,Q41,Gemini-1.5-Pro,Letter Swap,2.84
136,Social and Cultural Norms,Q41,Gemini-1.5-Pro,Synonyms,0.01
137,Social and Cultural Norms,Q41,Gemini-1.5-Pro,Paraphrase,11.36
138,Social and Cultural Norms,Q41,Gemini-1.5-Pro,Keyboard Typos,0.0
139,Social and Cultural Norms,Q41,Gemini-1.5-Pro,Paraphrase x Reversed,17.03
140,Social and Cultural Norms,Q41,Phi-3.5-mini,Missing Refusal,2.84
141,Social and Cultural Norms,Q41,Phi-3.5-mini,Even Scale,8.52
142,Social and Cultural Norms,Q41,Phi-3.5-mini,Reversed Answer Options,8.52
143,Social and Cultural Norms,Q41,Phi-3.5-mini,Emotional Priming,5.68
144,Social and Cultural Norms,Q41,Phi-3.5-mini,Key Typos,14.2
145,Social and Cultural Norms,Q41,Phi-3.5-mini,Letter Swap,5.68
146,Social and Cultural Norms,Q41,Phi-3.5-mini,Synonyms,2.84
147,Social and Cultural Norms,Q41,Phi-3.5-mini,Paraphrase,11.36
148,Social and Cultural Norms,Q41,Phi-3.5-mini,Keyboard Typos,5.68
149,Social and Cultural Norms,Q41,Phi-3.5-mini,Paraphrase x Reversed,11.36
150,Social and Cultural Norms,Q41,Mistral-7B-Instruct-v0.3,Missing Refusal,0.0
151,Social and Cultural Norms,Q41,Mistral-7B-Instruct-v0.3,Even Scale,5.68
152,Social and Cultural Norms,Q41,Mistral-7B-Instruct-v0.3,Reversed Answer Options,8.52
153,Social and Cultural Norms,Q41,Mistral-7B-Instruct-v0.3,Emotional Priming,2.84
154,Social and Cultural Norms,Q41,Mistral-7B-Instruct-v0.3,Key Typos,8.52
155,Social and Cultural Norms,Q41,Mistral-7B-Instruct-v0.3,Letter Swap,5.68
156,Social and Cultural Norms,Q41,Mistral-7B-Instruct-v0.3,Synonyms,8.52
157,Social and Cultural Norms,Q41,Mistral-7B-Instruct-v0.3,Paraphrase,2.84
158,Social and Cultural Norms,Q41,Mistral-7B-Instruct-v0.3,Keyboard Typos,5.68
159,Social and Cultural Norms,Q41,Mistral-7B-Instruct-v0.3,Paraphrase x Reversed,11.36
160,Social and Cultural Norms,Q41,Qwen-2.5-7B-Instruct,Missing Refusal,1.18
161,Social and Cultural Norms,Q41,Qwen-2.5-7B-Instruct,Even Scale,7.0
162,Social and Cultural Norms,Q41,Qwen-2.5-7B-Instruct,Reversed Answer Options,6.82
163,Social and Cultural Norms,Q41,Qwen-2.5-7B-Instruct,Emotional Priming,3.54
164,Social and Cultural Norms,Q41,Qwen-2.5-7B-Instruct,Key Typos,7.78
165,Social and Cultural Norms,Q41,Qwen-2.5-7B-Instruct,Letter Swap,4.7
166,Social and Cultural Norms,Q41,Qwen-2.5-7B-Instruct,Synonyms,5.71
167,Social and Cultural Norms,Q41,Qwen-2.5-7B-Instruct,Paraphrase,7.54
168,Social and Cultural Norms,Q41,Qwen-2.5-7B-Instruct,Keyboard Typos,12.77
169,Social and Cultural Norms,Q41,Qwen-2.5-7B-Instruct,Paraphrase x Reversed,7.54
170,Social and Cultural Norms,Q41,Yi-1.5-6B-Chat,Missing Refusal,8.52
171,Social and Cultural Norms,Q41,Yi-1.5-6B-Chat,Even Scale,5.68
172,Social and Cultural Norms,Q41,Yi-1.5-6B-Chat,Reversed Answer Options,11.36
173,Social and Cultural Norms,Q41,Yi-1.5-6B-Chat,Emotional Priming,17.03
174,Social and Cultural Norms,Q41,Yi-1.5-6B-Chat,Key Typos,8.52
175,Social and Cultural Norms,Q41,Yi-1.5-6B-Chat,Letter Swap,11.36
176,Social and Cultural Norms,Q41,Yi-1.5-6B-Chat,Synonyms,2.84
177,Social and Cultural Norms,Q41,Yi-1.5-6B-Chat,Paraphrase,11.36
178,Social and Cultural Norms,Q41,Yi-1.5-6B-Chat,Keyboard Typos,11.36
179,Social and Cultural Norms,Q41,Yi-1.5-6B-Chat,Paraphrase x Reversed,14.2
180,Trust in People and Groups,Q63,Llama-3.3-70B-Instruct,Missing Refusal,0.0
181,Trust in People and Groups,Q63,Llama-3.3-70B-Instruct,Even Scale,0.0
182,Trust in People and Groups,Q63,Llama-3.3-70B-Instruct,Reversed Answer Options,0.03
183,Trust in People and Groups,Q63,Llama-3.3-70B-Instruct,Emotional Priming,0.0
184,Trust in People and Groups,Q63,Llama-3.3-70B-Instruct,Key Typos,2.84
185,Trust in People and Groups,Q63,Llama-3.3-70B-Instruct,Letter Swap,0.0
186,Trust in People and Groups,Q63,Llama-3.3-70B-Instruct,Synonyms,2.84
187,Trust in People and Groups,Q63,Llama-3.3-70B-Instruct,Paraphrase,0.97
188,Trust in People and Groups,Q63,Llama-3.3-70B-Instruct,Keyboard Typos,0.21
189,Trust in People and Groups,Q63,Llama-3.3-70B-Instruct,Paraphrase x Reversed,2.84
190,Trust in People and Groups,Q63,Llama-3.1-8B-Instruct,Missing Refusal,2.57
191,Trust in People and Groups,Q63,Llama-3.1-8B-Instruct,Even Scale,3.39
192,Trust in People and Groups,Q63,Llama-3.1-8B-Instruct,Reversed Answer Options,11.11
193,Trust in People and Groups,Q63,Llama-3.1-8B-Instruct,Emotional Priming,3.12
194,Trust in People and Groups,Q63,Llama-3.1-8B-Instruct,Key Typos,3.22
195,Trust in People and Groups,Q63,Llama-3.1-8B-Instruct,Letter Swap,0.64
196,Trust in People and Groups,Q63,Llama-3.1-8B-Instruct,Synonyms,0.33
197,Trust in People and Groups,Q63,Llama-3.1-8B-Instruct,Paraphrase,0.95
198,Trust in People and Groups,Q63,Llama-3.1-8B-Instruct,Keyboard Typos,3.54
199,Trust in People and Groups,Q63,Llama-3.1-8B-Instruct,Paraphrase x Reversed,16.77
200,Trust in People and Groups,Q63,Llama-3.2-3B-Instruct,Missing Refusal,0.74
201,Trust in People and Groups,Q63,Llama-3.2-3B-Instruct,Even Scale,0.4
202,Trust in People and Groups,Q63,Llama-3.2-3B-Instruct,Reversed Answer Options,0.46
203,Trust in People and Groups,Q63,Llama-3.2-3B-Instruct,Emotional Priming,8.21
204,Trust in People and Groups,Q63,Llama-3.2-3B-Instruct,Key Typos,11.12
205,Trust in People and Groups,Q63,Llama-3.2-3B-Instruct,Letter Swap,0.46
206,Trust in People and Groups,Q63,Llama-3.2-3B-Instruct,Synonyms,5.83
207,Trust in People and Groups,Q63,Llama-3.2-3B-Instruct,Paraphrase,6.08
208,Trust in People and Groups,Q63,Llama-3.2-3B-Instruct,Keyboard Typos,0.4
209,Trust in People and Groups,Q63,Llama-3.2-3B-Instruct,Paraphrase x Reversed,5.82
210,Trust in People and Groups,Q63,Llama-3.2-1B-Instruct,Missing Refusal,1.34
211,Trust in People and Groups,Q63,Llama-3.2-1B-Instruct,Even Scale,2.41
212,Trust in People and Groups,Q63,Llama-3.2-1B-Instruct,Reversed Answer Options,0.61
213,Trust in People and Groups,Q63,Llama-3.2-1B-Instruct,Emotional Priming,2.89
214,Trust in People and Groups,Q63,Llama-3.2-1B-Instruct,Key Typos,1.1
215,Trust in People and Groups,Q63,Llama-3.2-1B-Instruct,Letter Swap,1.49
216,Trust in People and Groups,Q63,Llama-3.2-1B-Instruct,Synonyms,1.32
217,Trust in People and Groups,Q63,Llama-3.2-1B-Instruct,Paraphrase,0.94
218,Trust in People and Groups,Q63,Llama-3.2-1B-Instruct,Keyboard Typos,1.28
219,Trust in People and Groups,Q63,Llama-3.2-1B-Instruct,Paraphrase x Reversed,0.86
220,Trust in People and Groups,Q63,Gemini-1.5-Pro,Missing Refusal,2.98
221,Trust in People and Groups,Q63,Gemini-1.5-Pro,Even Scale,0.01
222,Trust in People and Groups,Q63,Gemini-1.5-Pro,Reversed Answer Options,3.06
223,Trust in People and Groups,Q63,Gemini-1.5-Pro,Emotional Priming,2.93
224,Trust in People and Groups,Q63,Gemini-1.5-Pro,Key Typos,3.12
225,Trust in People and Groups,Q63,Gemini-1.5-Pro,Letter Swap,0.14
226,Trust in People and Groups,Q63,Gemini-1.5-Pro,Synonyms,6.07
227,Trust in People and Groups,Q63,Gemini-1.5-Pro,Paraphrase,11.86
228,Trust in People and Groups,Q63,Gemini-1.5-Pro,Keyboard Typos,8.68
229,Trust in People and Groups,Q63,Gemini-1.5-Pro,Paraphrase x Reversed,11.21
230,Trust in People and Groups,Q63,Phi-3.5-mini,Missing Refusal,0.0
231,Trust in People and Groups,Q63,Phi-3.5-mini,Even Scale,0.0
232,Trust in People and Groups,Q63,Phi-3.5-mini,Reversed Answer Options,5.68
233,Trust in People and Groups,Q63,Phi-3.5-mini,Emotional Priming,0.0
234,Trust in People and Groups,Q63,Phi-3.5-mini,Key Typos,8.52
235,Trust in People and Groups,Q63,Phi-3.5-mini,Letter Swap,11.36
236,Trust in People and Groups,Q63,Phi-3.5-mini,Synonyms,5.68
237,Trust in People and Groups,Q63,Phi-3.5-mini,Paraphrase,5.68
238,Trust in People and Groups,Q63,Phi-3.5-mini,Keyboard Typos,8.52
239,Trust in People and Groups,Q63,Phi-3.5-mini,Paraphrase x Reversed,11.36
240,Trust in People and Groups,Q63,Mistral-7B-Instruct-v0.3,Missing Refusal,2.84
241,Trust in People and Groups,Q63,Mistral-7B-Instruct-v0.3,Even Scale,5.68
242,Trust in People and Groups,Q63,Mistral-7B-Instruct-v0.3,Reversed Answer Options,5.68
243,Trust in People and Groups,Q63,Mistral-7B-Instruct-v0.3,Emotional Priming,2.84
244,Trust in People and Groups,Q63,Mistral-7B-Instruct-v0.3,Key Typos,2.84
245,Trust in People and Groups,Q63,Mistral-7B-Instruct-v0.3,Letter Swap,2.84
246,Trust in People and Groups,Q63,Mistral-7B-Instruct-v0.3,Synonyms,8.52
247,Trust in People and Groups,Q63,Mistral-7B-Instruct-v0.3,Paraphrase,5.68
248,Trust in People and Groups,Q63,Mistral-7B-Instruct-v0.3,Keyboard Typos,0.0
249,Trust in People and Groups,Q63,Mistral-7B-Instruct-v0.3,Paraphrase x Reversed,5.68
250,Trust in People and Groups,Q63,Qwen-2.5-7B-Instruct,Missing Refusal,6.81
251,Trust in People and Groups,Q63,Qwen-2.5-7B-Instruct,Even Scale,1.21
252,Trust in People and Groups,Q63,Qwen-2.5-7B-Instruct,Reversed Answer Options,4.14
253,Trust in People and Groups,Q63,Qwen-2.5-7B-Instruct,Emotional Priming,4.47
254,Trust in People and Groups,Q63,Qwen-2.5-7B-Instruct,Key Typos,9.65
255,Trust in People and Groups,Q63,Qwen-2.5-7B-Instruct,Letter Swap,4.05
256,Trust in People and Groups,Q63,Qwen-2.5-7B-Instruct,Synonyms,15.33
257,Trust in People and Groups,Q63,Qwen-2.5-7B-Instruct,Paraphrase,11.36
258,Trust in People and Groups,Q63,Qwen-2.5-7B-Instruct,Keyboard Typos,9.65
259,Trust in People and Groups,Q63,Qwen-2.5-7B-Instruct,Paraphrase x Reversed,9.65
260,Trust in People and Groups,Q63,Yi-1.5-6B-Chat,Missing Refusal,5.68
261,Trust in People and Groups,Q63,Yi-1.5-6B-Chat,Even Scale,2.84
262,Trust in People and Groups,Q63,Yi-1.5-6B-Chat,Reversed Answer Options,5.68
263,Trust in People and Groups,Q63,Yi-1.5-6B-Chat,Emotional Priming,5.68
264,Trust in People and Groups,Q63,Yi-1.5-6B-Chat,Key Typos,11.36
265,Trust in People and Groups,Q63,Yi-1.5-6B-Chat,Letter Swap,8.52
266,Trust in People and Groups,Q63,Yi-1.5-6B-Chat,Synonyms,8.52
267,Trust in People and Groups,Q63,Yi-1.5-6B-Chat,Paraphrase,14.2
268,Trust in People and Groups,Q63,Yi-1.5-6B-Chat,Keyboard Typos,8.52
269,Trust in People and Groups,Q63,Yi-1.5-6B-Chat,Paraphrase x Reversed,11.36
270,Confidence in Institutions,Q72,Llama-3.3-70B-Instruct,Missing Refusal,0.2
271,Confidence in Institutions,Q72,Llama-3.3-70B-Instruct,Even Scale,1.67
272,Confidence in Institutions,Q72,Llama-3.3-70B-Instruct,Reversed Answer Options,12.26
273,Confidence in Institutions,Q72,Llama-3.3-70B-Instruct,Emotional Priming,4.87
274,Confidence in Institutions,Q72,Llama-3.3-70B-Instruct,Key Typos,2.89
275,Confidence in Institutions,Q72,Llama-3.3-70B-Instruct,Letter Swap,7.3
276,Confidence in Institutions,Q72,Llama-3.3-70B-Instruct,Synonyms,4.89
277,Confidence in Institutions,Q72,Llama-3.3-70B-Instruct,Paraphrase,2.58
278,Confidence in Institutions,Q72,Llama-3.3-70B-Instruct,Keyboard Typos,2.66
279,Confidence in Institutions,Q72,Llama-3.3-70B-Instruct,Paraphrase x Reversed,17.03
280,Confidence in Institutions,Q72,Llama-3.1-8B-Instruct,Missing Refusal,0.04
281,Confidence in Institutions,Q72,Llama-3.1-8B-Instruct,Even Scale,0.33
282,Confidence in Institutions,Q72,Llama-3.1-8B-Instruct,Reversed Answer Options,3.18
283,Confidence in Institutions,Q72,Llama-3.1-8B-Instruct,Emotional Priming,0.54
284,Confidence in Institutions,Q72,Llama-3.1-8B-Instruct,Key Typos,0.97
285,Confidence in Institutions,Q72,Llama-3.1-8B-Instruct,Letter Swap,0.11
286,Confidence in Institutions,Q72,Llama-3.1-8B-Instruct,Synonyms,0.16
287,Confidence in Institutions,Q72,Llama-3.1-8B-Instruct,Paraphrase,2.88
288,Confidence in Institutions,Q72,Llama-3.1-8B-Instruct,Keyboard Typos,0.46
289,Confidence in Institutions,Q72,Llama-3.1-8B-Instruct,Paraphrase x Reversed,12.25
290,Confidence in Institutions,Q72,Llama-3.2-3B-Instruct,Missing Refusal,3.34
291,Confidence in Institutions,Q72,Llama-3.2-3B-Instruct,Even Scale,1.31
292,Confidence in Institutions,Q72,Llama-3.2-3B-Instruct,Reversed Answer Options,2.68
293,Confidence in Institutions,Q72,Llama-3.2-3B-Instruct,Emotional Priming,2.06
294,Confidence in Institutions,Q72,Llama-3.2-3B-Instruct,Key Typos,4.32
295,Confidence in Institutions,Q72,Llama-3.2-3B-Instruct,Letter Swap,6.99
296,Confidence in Institutions,Q72,Llama-3.2-3B-Instruct,Synonyms,2.56
297,Confidence in Institutions,Q72,Llama-3.2-3B-Instruct,Paraphrase,2.34
298,Confidence in Institutions,Q72,Llama-3.2-3B-Instruct,Keyboard Typos,4.62
299,Confidence in Institutions,Q72,Llama-3.2-3B-Instruct,Paraphrase x Reversed,6.34
300,Confidence in Institutions,Q72,Llama-3.2-1B-Instruct,Missing Refusal,1.85
301,Confidence in Institutions,Q72,Llama-3.2-1B-Instruct,Even Scale,7.91
302,Confidence in Institutions,Q72,Llama-3.2-1B-Instruct,Reversed Answer Options,7.32
303,Confidence in Institutions,Q72,Llama-3.2-1B-Instruct,Emotional Priming,5.55
304,Confidence in Institutions,Q72,Llama-3.2-1B-Instruct,Key Typos,0.68
305,Confidence in Institutions,Q72,Llama-3.2-1B-Instruct,Letter Swap,2.37
306,Confidence in Institutions,Q72,Llama-3.2-1B-Instruct,Synonyms,2.27
307,Confidence in Institutions,Q72,Llama-3.2-1B-Instruct,Paraphrase,4.11
308,Confidence in Institutions,Q72,Llama-3.2-1B-Instruct,Keyboard Typos,4.84
309,Confidence in Institutions,Q72,Llama-3.2-1B-Instruct,Paraphrase x Reversed,9.14
310,Confidence in Institutions,Q72,Gemini-1.5-Pro,Missing Refusal,11.11
311,Confidence in Institutions,Q72,Gemini-1.5-Pro,Even Scale,6.63
312,Confidence in Institutions,Q72,Gemini-1.5-Pro,Reversed Answer Options,5.74
313,Confidence in Institutions,Q72,Gemini-1.5-Pro,Emotional Priming,6.27
314,Confidence in Institutions,Q72,Gemini-1.5-Pro,Key Typos,9.63
315,Confidence in Institutions,Q72,Gemini-1.5-Pro,Letter Swap,5.89
316,Confidence in Institutions,Q72,Gemini-1.5-Pro,Synonyms,2.96
317,Confidence in Institutions,Q72,Gemini-1.5-Pro,Paraphrase,8.18
